order,pokemon,drafted_by,cost,run_id,was_egg
1,Aron,Ely,2900,2026_01_29_r1,
2,Feebas,Eli,2300,2026_01_29_r1,
3,Dewpider,Jackson,3400,2026_01_29_r1,
4,Elekid,Jackson,2600,2026_01_29_r1,1
5,Stonjourner,Jackson,2000,2026_01_29_r1,
6,Remoraid,Eli,1600,2026_01_29_r1,
7,Sewaddle,Eli,1200,2026_01_29_r1,
8,Stufful,Eli,2300,2026_01_29_r1,
9,Chinchou,Ely,2100,2026_01_29_r1,
10,Fletchling,Eli,2000,2026_01_29_r1,
11,Drilbur,Ely,2500,2026_01_29_r1,
12,Smoliv,Ely,2100,2026_01_29_r1,
13,Gossifleur,Eli,2600,2026_01_29_r1,
14,Cufant,Eli,2100,2026_01_29_r1,
15,Miltank,Ely,2300,2026_01_29_r1,
16,Ralts,Eli,3800,2026_01_29_r1,
17,Shuppet,Ely,1800,2026_01_29_r1,
18,Froakie,Ely,3400,2026_01_29_r1,
19,Corsola,Jackson,3000,2026_01_29_r1,
20,Cubone,Ely,2900,2026_01_29_r1,
21,Sandshrew,Jackson,2200,2026_01_29_r1,
22,Sneasel,Jackson,2200,2026_01_29_r1,
23,Falinks,Jackson,2200,2026_01_29_r1,
24,Klawf,Jackson,2400,2026_01_29_r1,
