order,pokemon,drafted_by,cost,run_id,was_egg
1,Frillish,Primo,3400,2026_02_22_r1,
2,Blitzle,Paddy,2100,2026_02_22_r1,
3,Mudbray,Joey,4000,2026_02_22_r1,
4,Rowlet,Christian,2800,2026_02_22_r1,
5,Mawile,Christian,2700,2026_02_22_r1,
6,Fuecoco,Ian,3600,2026_02_22_r1,
7,Spritzee,Joey,3000,2026_02_22_r1,
8,Dewpider,Joey,3400,2026_02_22_r1,
9,Sewaddle,Ian,2500,2026_02_22_r1,
10,Elgyem,Paddy,2000,2026_02_22_r1,
11,Skorupi,Paddy,2000,2026_02_22_r1,
12,Surskit,Primo,2000,2026_02_22_r1,
13,Trubbish,Joey,1700,2026_02_22_r1,
14,Chespin,Joey,3700,2026_02_22_r1,
15,Castform,Pavan,3400,2026_02_22_r1,
16,Hawlucha,Primo,3100,2026_02_22_r1,
17,Cutiefly,Pavan,2300,2026_02_22_r1,
18,Aron,Ian,3700,2026_02_22_r1,
19,Sableye,Joey,2100,2026_02_22_r1,
20,Scyther,Pavan,2700,2026_02_22_r1,
21,Greavard,Ely,2200,2026_02_22_r1,
22,Smeargle,Paddy,1100,2026_02_22_r1,
23,Skiddo,Ely,3200,2026_02_22_r1,
24,Absol,Primo,2500,2026_02_22_r1,
25,Teddiursa,Primo,2500,2026_02_22_r1,
26,Phantump,Jackson,3600,2026_02_22_r1,
27,Chimchar,Ely,3300,2026_02_22_r1,
28,Bulbasaur,Ely,2800,2026_02_22_r1,
29,Varoom,Pavan,2700,2026_02_22_r1,
30,Tinkatink,Paddy,2600,2026_02_22_r1,
31,Wooper,Jackson,2400,2026_02_22_r1,
32,Geodude,Paddy,2700,2026_02_22_r1,
33,Sandile,Primo,2900,2026_02_22_r1,
34,Swirlix,Ely,2500,2026_02_22_r1,
35,Tympole,Jackson,3200,2026_02_22_r1,
36,Magby,Paddy,2500,2026_02_22_r1,1
37,Snorunt,Joey,2100,2026_02_22_r1,
38,Tyrunt,Ely,2700,2026_02_22_r1,
39,Bunnelby,Pavan,2100,2026_02_22_r1,
40,Ponyta,Jackson,2500,2026_02_22_r1,
41,Magnemite,Primo,2800,2026_02_22_r1,
42,Smoliv,Pavan,2900,2026_02_22_r1,
43,Cufant,Christian,1900,2026_02_22_r1,
44,Wishiwashi,Christian,2400,2026_02_22_r1,
45,Larvitar,Ely,3100,2026_02_22_r1,
46,Horsea,Ian,3000,2026_02_22_r1,
47,Machop,Christian,2600,2026_02_22_r1,
48,Makuhita,Paddy,2400,2026_02_22_r1,
49,Carvanha,Ian,2000,2026_02_22_r1,
50,Turtonator,Jackson,3100,2026_02_22_r1,
51,Sandygast,Ian,1800,2026_02_22_r1,
52,Burmy,Christian,1800,2026_02_22_r1,
53,Helioptile,Christian,1800,2026_02_22_r1,
54,Charmander,Jackson,2500,2026_02_22_r1,
55,Litleo,Christian,1500,2026_02_22_r1,
56,Lillipup,Christian,1200,2026_02_22_r1,
57,Starly,Ian,1600,2026_02_22_r1,
58,Blipbug,Christian,1300,2026_02_22_r1,
59,Bagon,Ian,1800,2026_02_22_r1,
60,Impidimp,Jackson,1300,2026_02_22_r1,
61,Archen,Pavan,1500,2026_02_22_r1,
62,Chinchou,Paddy,1500,2026_02_22_r1,
63,Bounsweet,Jackson,1400,2026_02_22_r1,
64,Amaura,Pavan,2400,2026_02_22_r1,
