run_id,run_number,racer_name,placement,result,result_order,time,start_money,end_money,eevee_picked,eevee_order,draft_id,game_version,num_picks,num_racers,gym_order,e4_order
2026_01_25_r1,8,Pavan,1,Wattson,8,,20000,1600,Jolteon,1,3.29035E+11,7.9,64,8,,
2026_01_25_r1,8,Christian,2,Roxanne,7,,20000,200,Vaporeon,2,3.29035E+11,7.9,64,8,,
2026_01_25_r1,8,Paddy,3,Juan & Wallace,4,,20000,1800,,,3.29035E+11,7.9,64,8,,
2026_01_25_r1,8,Ely,4,Viola,4,,20000,300,,,3.29035E+11,7.9,64,8,,
2026_01_25_r1,8,Eli,5,Norman,4,,20000,0,,,3.29035E+11,7.9,64,8,,
2026_01_25_r1,8,Primo,6,Winona,3,,20000,0,,,3.29035E+11,7.9,64,8,,
2026_01_25_r1,8,Jackson,7,Juan & Wallace,2,,20000,0,,,3.29035E+11,7.9,64,8,,
2026_01_25_r1,8,Joey,8,Norman,2,,20000,0,,,3.29035E+11,7.9,64,8,,
2026_01_24_r1,7,Pavan,1,Steven,13,,20000,1000,Vaporeon,3,1.44823E+11,7.8,48,6,,"Sidney,Lucy,Glacia,Brandon,Steven"
2026_01_24_r1,7,Jackson,2,Glacia,11,,20000,300,Sylveon,1,1.44823E+11,7.8,48,6,,"Spenser,Lucy,Glacia"
2026_01_24_r1,7,Eli,3,Brawly,7,,20000,100,Umbreon,4,1.44823E+11,7.8,48,6,,
2026_01_24_r1,7,Christian,4,Wattson,6,,20000,0,Espeon,2,1.44823E+11,7.8,48,6,,
2026_01_24_r1,7,Austin,5,Viola,5,,20000,2000,,,1.44823E+11,7.8,48,6,,
2026_01_24_r1,7,Ely,6,Viola,3,,20000,0,,,1.44823E+11,7.8,48,6,,
2026_01_23_r2,6,Paddy,1,Tate & Liza,6,,20000,100,Sylveon,1,74235197634,7.8,40,5,,
2026_01_23_r2,6,Jackson,2,Tate & Liza,6,,20000,0,Vaporeon,3,74235197634,7.8,40,5,,
2026_01_23_r2,6,Primo,3,Viola,5,,20000,1400,Umbreon,2,74235197634,7.8,40,5,,
2026_01_23_r2,6,Austin,4,Winona,3,,20000,0,,,74235197634,7.8,40,5,,
2026_01_23_r2,6,Christian,5,Winona,3,,20000,1500,,,74235197634,7.8,40,5,,
2026_01_23_r1,5,Austin,1,Archie,8,,20000,0,Vaporeon,2,1.09913E+11,7.8,24,3,,
2026_01_23_r1,5,Jackson,2,Brawly,5,,20000,2200,Sylveon,1,1.09913E+11,7.8,24,3,,
2026_01_23_r1,5,Paddy,3,Winona,4,,20000,2500,,,1.09913E+11,7.8,24,3,,
2026_01_19_r1,4,Jackson,1,Tucker,11,,20000,2300,Umbreon,2,7.20013E+11,7.7,32,4,,"Spenser,Phoebe,Tucker"
2026_01_19_r1,4,Austin,2,Tate & Liza,6,,20000,3500,,,7.20013E+11,7.7,32,4,,
2026_01_19_r1,4,Paddy,3,Flannery,5,,20000,3000,,,7.20013E+11,7.7,32,4,,
2026_01_19_r1,4,Pavan,4,Tate & Liza,2,,20000,3600,,,7.20013E+11,7.7,32,4,,
2026_01_11_r1,3,Primo,1,Winona,6,,20000,0,Sylveon,1,,7.6,48,6,,
2026_01_11_r1,3,Pavan,2,Tate & Liza,5,,20000,0,Espeon,3,,7.6,48,6,,
2026_01_11_r1,3,Christian,3,Roxanne,5,,20000,0,Umbreon,2,,7.6,48,6,,
2026_01_11_r1,3,Eli,4,Norman,4,,20000,0,,,,7.6,48,6,,
2026_01_11_r1,3,Jackson,5,Wattson,4,,20000,600,,,,7.6,48,6,,
2026_01_11_r1,3,Austin,6,Juan & Wallace,2,,20000,2100,,,,7.6,48,6,,
2026_01_08_r1,2,Jackson,1,Glacia,11,,20000,400,Vaporeon,5,2.47907E+11,7.5,72,9,,"Sidney,Lucy,Glacia"
2026_01_08_r1,2,Joey,2,Sidney,9,,20000,300,Umbreon,3,2.47907E+11,7.5,72,9,,Sidney
2026_01_08_r1,2,Pavan,3,Spenser,9,,20000,1900,Glaceon,7,2.47907E+11,7.5,72,9,,Spenser
2026_01_08_r1,2,Eli,4,Tate & Liza,8,,20000,0,Sylveon,1,2.47907E+11,7.5,72,9,,
2026_01_08_r1,2,Primo,5,Maxie,8,,20000,500,Flareon,6,2.47907E+11,7.5,72,9,,
2026_01_08_r1,2,Ely,6,Brawly,7,,20000,1400,Jolteon,4,2.47907E+11,7.5,72,9,,
2026_01_08_r1,2,Austin,7,Norman,5,,20000,400,Espeon,2,2.47907E+11,7.5,72,9,,
2026_01_08_r1,2,Paddy,8,Flannery,4,,20000,1100,,,2.47907E+11,7.5,72,9,,
2026_01_08_r1,2,Christian,9,Brawly,4,,20000,0,,,2.47907E+11,7.5,72,9,,
2026_01_05_r1,1,Primo,1,Glacia,11,,20000,0,Umbreon,2,3.69926E+11,7.4,64,8,,"Spenser,Lucy,Glacia"
2026_01_05_r1,1,Eli,2,Norman,8,,20000,0,Flareon,3,3.69926E+11,7.4,64,8,,
2026_01_05_r1,1,Jackson,3,Tate & Liza,7,,20000,1400,,,3.69926E+11,7.4,64,8,,
2026_01_05_r1,1,Austin,4,Juan & Wallace,7,,20000,1000,Espeon,4,3.69926E+11,7.4,64,8,,
2026_01_05_r1,1,Paddy,5,Juan & Wallace,5,,20000,0,Sylveon,1,3.69926E+11,7.4,64,8,,
2026_01_05_r1,1,Joey,6,Tate & Liza,5,,20000,0,,,3.69926E+11,7.4,64,8,,
2026_01_05_r1,1,Pavan,7,Roxanne,5,,20000,2900,,,3.69926E+11,7.4,64,8,,
2026_01_05_r1,1,Christian,8,Winona,3,,20000,0,,,3.69926E+11,7.4,64,8,,
2026_01_27_r1,9,Ely,1,Lucy,10,,20000,1000,Espeon,1,4.3126E+11,7.91,32,4,,"Sidney,Lucy"
2026_01_27_r1,9,Jackson,2,Wattson,7,,20000,0,,,4.3126E+11,7.91,32,4,,
2026_01_27_r1,9,Austin,3,Flannery,7,,20000,0,Sylveon,2,4.3126E+11,7.91,32,4,,
2026_01_27_r1,9,Eli,4,Wattson,2,,20000,4700,,,4.3126E+11,7.91,32,4,,
2026_01_28_r1,10,Jackson,1,Flannery,6,,20000,0,,,7.25854E+11,7.91,24,3,,
2026_01_28_r1,10,Pavan,2,Norman,4,,20000,0,,,7.25854E+11,7.91,24,3,,
2026_01_28_r1,10,Ely,3,Flannery,4,,20000,300,,,7.25854E+11,7.91,24,3,,
2026_01_29_r1,11,Ely,1,Brandon,12,,20000,0,Espeon,2,1.153E+11,7.91,24,3,,"Sidney,Phoebe,Tucker"
2026_01_29_r1,11,Eli,2,Wattson,8,,20000,2100,Sylveon,1,1.153E+11,7.91,24,3,,
