order,pokemon,drafted_by,cost,run_id,was_egg
1,Wishiwashi,Pavan,2500,2026_01_30_r1,
2,Bombirdier,Ely,2600,2026_01_30_r1,
3,Skrelp,Ely,2000,2026_01_30_r1,
4,Minccino,Jackson,1700,2026_01_30_r1,
5,Skiddo,Ely,2600,2026_01_30_r1,
6,Sneasel,Jackson,2800,2026_01_30_r1,
7,Bagon,Ely,1600,2026_01_30_r1,
8,Turtwig,Pavan,3500,2026_01_30_r1,
9,Electrike,Ely,2200,2026_01_30_r1,
10,Horsea,Jackson,2100,2026_01_30_r1,
11,Charmander,Ely,3200,2026_01_30_r1,
12,Fuecoco,Jackson,3300,2026_01_30_r1,
13,Falinks,Pavan,1200,2026_01_30_r1,
14,Magnemite,Ely,4000,2026_01_30_r1,
15,Snorunt,Ely,1300,2026_01_30_r1,
16,Happiny,Pavan,2800,2026_01_30_r1,1
17,Starly,Pavan,2500,2026_01_30_r1,
18,Wingull,Jackson,2000,2026_01_30_r1,
19,Turtonator,Jackson,3000,2026_01_30_r1,
20,Sizzlipede,Pavan,1900,2026_01_30_r1,
21,Frillish,Jackson,2500,2026_01_30_r1,
22,Drifloon,Pavan,1100,2026_01_30_r1,
23,Stufful,Jackson,2600,2026_01_30_r1,
24,Poochyena,Pavan,100,2026_01_30_r1,
