Draft ID: 373448341880
Patch: v7.9
Date: 2/1/2026, 12:10:47 AM
Total Pokemon Sold: 40

Player,Starting Money,Remaining Money
Christian,20000,900
Ely,20000,600
Jackson,20000,0
Paddy,20000,2100
Pavan,20000,1200

Order,Pokemon,Drafted By,Cost
1,Minccino,Jackson,1500
2,Bombirdier,Ely,2400
3,Greavard,Ely,1800
4,Tyrunt,Christian,2200
5,Sneasel,Jackson,2400
6,Growlithe,Pavan,2400
7,Electrike,Pavan,2000
8,Snorunt,Jackson,1700
9,Mudkip,Jackson,3700
10,Stufful,Paddy,2000
11,Gossifleur,Ely,2600
12,Rotom,Christian,4200
13,Elgyem,Ely,2000
14,Smeargle,Paddy,900
15,Emolga,Ely,2500
16,Buneary,Ely,1600
17,Chespin,Ely,3800
18,Stantler,Pavan,2300
19,Slowpoke,Ely,2700
20,Morelull,Christian,2500
21,Blipbug,Jackson,2000
22,Remoraid,Paddy,2400
23,Pansear,Paddy,1900
24,Sandygast,Christian,2600
25,Treecko,Pavan,3500
26,Staryu,Jackson,2400
27,Venipede,Christian,1300
28,Drilbur,Pavan,4200
29,Sandile,Christian,3200
30,Castform,Christian,3100
31,Makuhita,Pavan,2300
32,Clobbopus,Paddy,1300
33,Grubbin,Paddy,2100
34,Smoliv,Paddy,2300
35,Nincada,Pavan,2100
36,Klawf,Paddy,2300
37,Wattrel,Jackson,2000
38,Ralts,Paddy,2700
39,Zorua,Jackson,2200
40,Egg,Jackson,2100
